AtomicNumber,Name,Group,angle
1,H,0,0
2,He,18,90
3,Li,1,135
4,Be,2,180
5,B,13,225
6,C,14,270
7,N,15,315
8,O,16,0
9,F,17,45
10,Ne,18,90
11,Na,1,135
12,Mg,2,180
13,Al,13,225
14,Si,14,270
15,P,15,315
16,S,16,0
17,Cl,17,45
18,Ar,18,90
19,K,1,110
20,Ca,2,130
21,Sc,3,150
22,Ti,4,170
23,V,5,190
24,Cr,6,210
25,Mn,7,230
26,Fe,8,250
27,Co,9,270
28,Ni,10,290
29,Cu,11,310
30,Zn,12,330
31,Ga,13,350
32,Ge,14,10
33,As,15,30
34,Se,16,50
35,Br,17,70
36,Kr,18,90
37,Rb,1,110
38,Sr,2,130
39,Y,3,150
40,Zr,4,170
41,Nb,5,190
42,Mo,6,210
43,X,7,230
44,Ru,8,250
45,Rh,9,270
46,Pd,10,290
47,Ag,11,310
48,Cd,12,330
49,In,13,350
50,Sn,14,10
51,Sb,15,30
52,Te,16,50
53,I,17,70
54,Xe,18,90
55,Cs,1,101
56,Ba,2,113
57,La,3,124
58,Ce,3.07,135
59,Pr,3.13,146
60,Nd,3.2,158
61,X,3.27,170
62,Sm,3.33,180
63,Eu,3.4,191
64,Gd,3.47,203
65,Tb,3.53,214
66,Dy,3.6,225
67,Ho,3.67,236
68,Er,3.73,248
69,Tm,3.8,259
70,Yb,3.87,270
71,Lu,3.93,281
72,Hf,4,293
73,Ta,5,304
74,W,6,315
75,Re,7,326
76,Os,8,338
77,Ir,9,349
78,Pt,10,0
79,Au,11,11
80,Hg,12,23
81,Tl,13,34
82,Pb,14,45
83,Bi,15,56
84,Po,16,68
85,At,17,79
86,Rn,18,90
87,Fr,1,101
88,Ra,2,113
89,Ac,3,124
90,Th,3.07,135
91,Pa,3.13,146
92,U,3.2,158
93,Np,3.27,169
94,Pu,3.33,180
